Season,G,GS,ShO,SV,IPouts,H,ER,BB,SO,HLD,QS,PTS,AB,PA,1B,2B,3B,HR,R,RBI
2023,32,32,0,0,576,168,77,39,212,0,21,612.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,0,0,560,146,80,58,281,0,18,744,NA,NA,NA,NA,NA,NA,NA,NA
2023,33,33,2,0,627,157,61,48,222,0,24,800.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,0,0,552,156,57,55,183,0,17,532.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,34,34,1,0,630,188,81,47,220,0,20,642.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,31,31,0,0,555,163,65,55,237,0,20,639,NA,NA,NA,NA,NA,NA,NA,NA
2023,33,33,1,0,648,201,78,31,194,0,24,614,NA,NA,NA,NA,NA,NA,NA,NA
2023,31,31,0,0,533,158,69,24,186,0,17,559,NA,NA,NA,NA,NA,NA,NA,NA
2023,30,30,0,0,520,167,59,36,176,0,20,554.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,1,0,582,176,79,48,234,0,20,625,NA,NA,NA,NA,NA,NA,NA,NA
2023,31,31,2,0,594,166,76,57,200,0,20,587.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,31,31,0,0,572,179,71,19,172,0,20,546,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,0,0,566,177,67,48,166,0,20,475.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,0,0,540,115,45,99,234,0,20,692,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,0,0,581,178,96,45,202,0,15,464.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,0,0,536,162,71,55,208,0,17,515.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,30,30,0,0,506,132,53,44,168,0,18,547,NA,NA,NA,NA,NA,NA,NA,NA
2023,33,33,0,0,531,172,90,79,214,0,12,376.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,0,0,581,141,73,66,200,0,19,573.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,29,29,0,0,499,126,55,77,202,0,16,549.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,27,27,0,0,487,139,58,45,144,0,14,429,NA,NA,NA,NA,NA,NA,NA,NA
2023,33,33,0,0,591,160,73,56,219,0,18,614,NA,NA,NA,NA,NA,NA,NA,NA
2023,15,15,0,0,241,58,25,14,102,0,5,308,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,1,0,583,187,91,55,210,0,18,507,NA,NA,NA,NA,NA,NA,NA,NA
2023,21,21,0,0,360,93,47,37,162,0,9,414,NA,NA,NA,NA,NA,NA,NA,NA
2023,30,30,0,0,533,143,65,69,187,0,18,518,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,1,0,572,169,79,36,189,0,18,553.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,35,35,0,0,604,226,107,39,137,0,14,227.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,31,30,0,0,479,154,65,29,156,0,10,389.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,30,30,0,0,497,131,71,54,210,0,16,530.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,25,25,0,0,426,122,47,45,141,0,11,406.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,28,28,1,0,554,176,85,48,151,0,13,355,NA,NA,NA,NA,NA,NA,NA,NA
2023,26,26,0,0,458,128,56,48,143,0,14,412,NA,NA,NA,NA,NA,NA,NA,NA
2023,26,26,0,0,439,140,58,36,140,0,17,387,NA,NA,NA,NA,NA,NA,NA,NA
2023,74,0,0,12,234,53,20,24,104,24,0,450.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,22,22,0,0,373,105,52,32,119,0,9,331.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,0,0,569,173,77,52,184,0,15,454.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,56,0,0,33,183,30,10,26,110,1,0,515,NA,NA,NA,NA,NA,NA,NA,NA
2023,24,24,0,0,411,138,57,27,93,0,12,242.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,27,25,1,0,410,120,60,52,119,0,15,320,NA,NA,NA,NA,NA,NA,NA,NA
2023,24,24,0,0,403,113,48,43,124,0,12,385,NA,NA,NA,NA,NA,NA,NA,NA
2023,30,30,0,0,490,150,66,83,183,0,12,388.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,23,23,0,0,367,109,47,33,116,0,7,295,NA,NA,NA,NA,NA,NA,NA,NA
2023,33,33,0,0,576,198,101,55,157,0,17,333.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,28,28,0,0,446,141,74,60,168,0,9,288.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,31,31,0,0,518,155,84,71,138,0,11,305,NA,NA,NA,NA,NA,NA,NA,NA
2023,24,24,0,0,409,134,69,43,141,0,10,270.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,33,33,1,0,600,176,80,59,186,0,21,553.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,31,23,0,0,388,107,58,36,135,2,4,293.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,0,0,503,165,72,48,181,0,9,403.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,26,26,0,0,433,125,55,29,146,0,12,409,NA,NA,NA,NA,NA,NA,NA,NA
2023,22,22,0,0,375,129,58,48,119,0,11,231.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,25,25,1,0,432,117,58,47,132,0,11,394,NA,NA,NA,NA,NA,NA,NA,NA
2023,23,23,1,0,396,85,46,55,167,0,12,490,NA,NA,NA,NA,NA,NA,NA,NA
2023,24,24,0,0,395,100,36,40,137,0,11,449,NA,NA,NA,NA,NA,NA,NA,NA
2023,28,28,0,0,434,145,66,74,128,0,8,187.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,66,0,0,39,202,53,15,21,80,0,0,440,NA,NA,NA,NA,NA,NA,NA,NA
2023,29,29,1,0,485,155,81,34,197,0,14,456.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,49,9,0,6,314,88,32,32,127,8,2,356,NA,NA,NA,NA,NA,NA,NA,NA
2023,29,12,0,0,288,70,37,41,113,3,7,298.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,21,21,0,0,328,100,47,44,120,0,9,273,NA,NA,NA,NA,NA,NA,NA,NA
2023,24,24,0,0,394,121,55,40,110,0,10,283.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,27,27,0,0,458,126,64,45,174,0,14,469.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,17,17,0,0,292,90,33,21,97,0,11,314.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,20,20,0,0,308,87,49,29,125,0,6,277,NA,NA,NA,NA,NA,NA,NA,NA
2023,21,21,0,0,384,124,54,34,107,0,12,279,NA,NA,NA,NA,NA,NA,NA,NA
2023,78,0,0,4,212,65,24,29,107,24,0,353,NA,NA,NA,NA,NA,NA,NA,NA
2023,35,26,0,0,518,163,71,55,140,2,12,358,NA,NA,NA,NA,NA,NA,NA,NA
2023,22,22,0,0,336,111,60,48,152,0,7,251.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,56,10,0,2,263,68,32,21,108,11,0,321.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,25,17,0,0,315,108,45,32,98,0,4,178,NA,NA,NA,NA,NA,NA,NA,NA
2023,31,31,0,0,486,143,82,62,159,0,11,336.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,33,32,0,0,477,169,82,46,149,0,5,236.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,29,29,0,0,479,182,98,49,133,0,9,146.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,69,0,0,39,203,51,22,26,87,0,0,429.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,25,25,0,0,394,124,63,26,119,0,9,276,NA,NA,NA,NA,NA,NA,NA,NA
2023,38,16,0,1,428,110,64,50,183,2,5,410,NA,NA,NA,NA,NA,NA,NA,NA
2023,14,14,1,0,233,70,22,18,80,0,7,281,NA,NA,NA,NA,NA,NA,NA,NA
2023,21,21,0,0,345,95,42,41,121,0,12,365,NA,NA,NA,NA,NA,NA,NA,NA
2023,32,32,1,0,533,161,85,83,158,0,14,308,NA,NA,NA,NA,NA,NA,NA,NA
2023,23,23,0,0,366,121,59,42,129,0,7,256.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,23,23,0,0,351,111,58,39,98,0,7,190,NA,NA,NA,NA,NA,NA,NA,NA
2023,24,22,0,0,381,121,61,36,139,0,8,284.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,61,0,0,36,176,26,10,28,87,0,0,475,NA,NA,NA,NA,NA,NA,NA,NA
2023,28,28,1,0,454,163,65,37,131,0,11,311,NA,NA,NA,NA,NA,NA,NA,NA
2023,19,18,0,0,298,88,38,16,96,0,7,254,NA,NA,NA,NA,NA,NA,NA,NA
2023,31,29,0,0,467,157,88,55,178,0,11,299,NA,NA,NA,NA,NA,NA,NA,NA
2023,31,31,0,0,524,160,74,63,128,0,16,351.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,29,27,0,0,433,162,80,66,148,1,8,195,NA,NA,NA,NA,NA,NA,NA,NA
2023,23,21,0,0,334,121,51,34,96,0,6,188.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,71,0,0,37,202,44,23,36,86,2,0,427,NA,NA,NA,NA,NA,NA,NA,NA
2023,61,0,0,6,175,37,20,36,103,14,0,307.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,29,29,0,0,472,149,72,54,142,0,12,319.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,75,0,0,44,218,68,26,16,64,0,0,382,NA,NA,NA,NA,NA,NA,NA,NA
2023,61,0,0,33,169,32,8,30,85,0,0,416,NA,NA,NA,NA,NA,NA,NA,NA
2023,72,0,0,8,218,60,17,13,65,31,0,347.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,29,25,1,1,459,138,71,47,111,0,11,278.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,24,24,0,0,376,127,53,48,119,0,7,230.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,58,2,0,0,198,52,36,28,98,7,0,190,NA,NA,NA,NA,NA,NA,NA,NA
2023,21,20,0,0,313,94,49,28,117,0,6,245,NA,NA,NA,NA,NA,NA,NA,NA
2023,28,28,0,0,471,165,74,45,132,0,15,292,NA,NA,NA,NA,NA,NA,NA,NA
2023,66,0,0,24,189,51,20,23,71,5,0,324,NA,NA,NA,NA,NA,NA,NA,NA
2023,30,30,0,0,477,152,69,80,143,0,11,254,NA,NA,NA,NA,NA,NA,NA,NA
2023,26,26,0,0,437,148,77,52,111,0,15,210,NA,NA,NA,NA,NA,NA,NA,NA
2023,60,0,0,5,199,69,25,17,66,6,0,181,NA,NA,NA,NA,NA,NA,NA,NA
2023,54,0,0,1,157,29,14,19,69,11,0,243,NA,NA,NA,NA,NA,NA,NA,NA
2023,13,13,0,0,227,75,30,24,60,0,8,144.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,70,0,0,7,207,65,20,15,55,28,0,291,NA,NA,NA,NA,NA,NA,NA,NA
2023,19,19,0,0,274,72,32,31,108,0,6,271.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,72,0,0,5,216,44,14,31,100,24,0,391.5,NA,NA,NA,NA,NA,NA,NA,NA
