,edge,grade,money,value,is_best,bet_quality,implied_value,projected_value,ou,book_name,display_name,full_name,prop
336,0.037918613634276,C,-155,5.5,True,5.0,4.796437636026484,4.83,under,Best Odds,Rays,Aaron Civale,strikeouts
337,-0.100307205434632,F,120,5.5,False,4.0,5.030958424017656,4.83,over,Best Odds,Rays,Aaron Civale,strikeouts
344,0.030377135504563,C,-160,5.5,True,5.0,4.796437636026484,4.83,under,BetMGM NJ,Rays,Aaron Civale,strikeouts
345,-0.100307205434632,F,120,5.5,False,4.0,5.030958424017656,4.83,over,BetMGM NJ,Rays,Aaron Civale,strikeouts
342,0.031862136989564,C,-159,5.5,True,5.0,4.796437636026484,4.83,under,BetRivers NJ,Rays,Aaron Civale,strikeouts
343,-0.100307205434632,F,120,5.5,False,4.0,5.030958424017656,4.83,over,BetRivers NJ,Rays,Aaron Civale,strikeouts
350,0.017508962785089,C-,-169,5.5,True,4.0,4.561916848035312,4.83,under,Caesars NJ,Rays,Aaron Civale,strikeouts
351,-0.094192244162721,F,123,5.5,False,4.0,5.030958424017656,4.83,over,Caesars NJ,Rays,Aaron Civale,strikeouts
338,0.045761750889178,C,-150,5.5,True,5.0,4.796437636026484,4.83,under,DK NJ,Rays,Aaron Civale,strikeouts
339,-0.100307205434632,F,120,5.5,False,4.0,5.030958424017656,4.83,over,DK NJ,Rays,Aaron Civale,strikeouts
340,0.04346208354836,C,134,4.5,True,5.0,4.924264068711928,4.83,under,FanDuel NJ,Rays,Aaron Civale,strikeouts
341,-0.103165452075257,F,-172,4.5,False,3.0,5.348528137423856,4.83,over,FanDuel NJ,Rays,Aaron Civale,strikeouts
346,0.030377135504563,C,-160,5.5,True,5.0,4.796437636026484,4.83,under,PointsBet NJ,Rays,Aaron Civale,strikeouts
347,-0.100307205434632,F,120,5.5,False,4.0,5.030958424017656,4.83,over,PointsBet NJ,Rays,Aaron Civale,strikeouts
348,0.071293665782795,C+,-135,5.5,True,6.0,5.030958424017656,4.83,under,bet365 NJ,Rays,Aaron Civale,strikeouts
349,-0.133566628937958,F,105,5.5,False,3.0,5.265479212008828,4.83,over,bet365 NJ,Rays,Aaron Civale,strikeouts
