Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Ronald Acuña Jr.,ATL,159,735,41,149,106,73,10.90%,11.40%,0.258,0.338,0.337,0.416,0.596,0.428,0.463,170,7.6,71.7,-13.6,8.3
Mookie Betts,LAD,152,693,39,126,107,14,13.90%,15.40%,0.272,0.316,0.307,0.408,0.579,0.416,0.411,167,3.5,60.8,-1.6,8.3
Freddie Freeman,LAD,161,730,29,131,102,23,9.90%,16.60%,0.235,0.37,0.331,0.41,0.567,0.411,0.409,163,5.1,61.8,-7.5,7.9
Matt Olson,ATL,162,720,54,127,139,1,14.40%,23.20%,0.321,0.302,0.283,0.389,0.604,0.413,0.394,160,1.5,55.4,-12.6,6.7
Shohei Ohtani,LAA,135,599,44,102,95,20,15.20%,23.90%,0.35,0.342,0.304,0.412,0.654,0.433,0.428,180,3.4,60.6,-14.5,6.6
Marcus Semien,TEX,162,753,29,122,100,14,9.60%,14.60%,0.201,0.291,0.276,0.348,0.478,0.354,0.335,124,2.5,24.3,13.4,6.3
Corey Seager,TEX,119,536,33,88,96,2,9.10%,16.40%,0.296,0.34,0.327,0.39,0.623,0.419,0.413,169,-5.4,38.8,4.1,6.1
Francisco Lindor,NYM,160,687,31,108,98,31,9.60%,19.90%,0.216,0.277,0.254,0.336,0.47,0.346,0.345,121,7.7,25.9,11.1,6
Corbin Carroll,ARI,155,645,25,116,76,54,8.80%,19.40%,0.221,0.325,0.285,0.362,0.506,0.37,0.346,133,15.8,42.3,-4.2,6
Julio Rodríguez,SEA,155,714,32,102,103,37,6.60%,24.50%,0.209,0.33,0.275,0.333,0.485,0.347,0.346,126,7,29.4,5.1,5.9
Bobby Witt Jr.,KCR,158,694,30,97,96,49,5.80%,17.40%,0.218,0.295,0.276,0.319,0.495,0.343,0.373,115,7,19.3,14.7,5.7
Juan Soto,SDP,162,708,35,97,109,12,18.60%,18.20%,0.245,0.296,0.275,0.41,0.519,0.395,0.408,155,-4.3,44,-12.6,5.5
William Contreras,MIL,141,611,17,86,78,6,10.30%,20.60%,0.169,0.348,0.289,0.367,0.457,0.357,0.336,124,-3.4,15.1,17.9,5.4
Aaron Judge,NYY,106,458,37,79,75,3,19.20%,28.40%,0.346,0.3,0.267,0.406,0.613,0.42,0.468,174,1,41.9,-4,5.3
Austin Riley,ATL,159,715,37,117,97,3,8.30%,24.10%,0.234,0.324,0.281,0.345,0.516,0.363,0.366,127,2.1,25.9,2.2,5.2
José Ramírez,CLE,156,691,24,87,80,28,10.60%,10.60%,0.193,0.285,0.282,0.356,0.475,0.346,0.36,123,7,26,1.7,5.1
Adley Rutschman,BAL,154,687,20,84,80,1,13.40%,14.70%,0.158,0.303,0.277,0.374,0.435,0.352,0.373,127,-3,19.3,8.1,5.1
Luis Robert Jr.,CHW,145,595,38,90,80,20,5.00%,28.90%,0.278,0.314,0.264,0.315,0.542,0.358,0.35,128,2,22.2,7.6,5
Dansby Swanson,CHC,147,638,22,81,80,9,10.30%,24.10%,0.172,0.297,0.244,0.328,0.416,0.325,0.346,104,4.6,7.5,20.3,4.9
Kyle Tucker,HOU,157,674,29,97,112,30,11.90%,13.60%,0.233,0.289,0.284,0.369,0.517,0.372,0.387,140,6.8,38.9,-12.3,4.9
J.P. Crawford,SEA,145,638,19,94,65,2,14.70%,19.60%,0.172,0.314,0.266,0.38,0.438,0.359,0.339,134,1.6,27.7,-0.1,4.9
Adolis García,TEX,148,632,39,108,107,9,10.30%,27.70%,0.263,0.28,0.245,0.328,0.508,0.354,0.367,124,3.5,21.8,5.1,4.8
Yandy Díaz,TBR,137,600,22,95,78,0,10.80%,15.70%,0.192,0.367,0.33,0.41,0.522,0.402,0.381,164,-7,39.1,-12.1,4.7
Cal Raleigh,SEA,145,569,30,78,75,0,9.50%,27.80%,0.224,0.273,0.232,0.306,0.456,0.326,0.332,111,-0.8,7,20.7,4.7
Nico Hoerner,CHC,150,688,9,98,68,43,7.10%,12.10%,0.1,0.312,0.283,0.346,0.383,0.322,0.311,102,9.7,11.5,11.9,4.7
Gunnar Henderson,BAL,150,622,28,100,82,10,9.00%,25.60%,0.234,0.306,0.255,0.325,0.489,0.346,0.345,123,5.2,22.3,3.1,4.6
Wander Franco,TBR,112,491,17,65,58,30,8.60%,14.10%,0.195,0.297,0.281,0.344,0.475,0.349,0.361,127,0.1,16.2,12.8,4.6
Yordan Alvarez,HOU,114,496,31,77,97,0,13.90%,18.50%,0.29,0.306,0.293,0.407,0.583,0.415,0.44,170,-2.6,38.9,-10.7,4.5
Xander Bogaerts,SDP,155,665,19,83,58,19,8.40%,16.50%,0.154,0.319,0.285,0.35,0.44,0.343,0.317,120,-0.9,15.7,6,4.4
TJ Friedl,CIN,138,556,18,73,66,27,8.50%,16.20%,0.189,0.308,0.279,0.352,0.467,0.353,0.29,116,9.1,20.4,4.8,4.4
Will Smith,LAD,126,554,19,80,76,3,11.40%,16.10%,0.177,0.277,0.261,0.359,0.438,0.345,0.353,119,1.9,14.8,10.4,4.4
James Outman,LAD,151,567,23,86,70,16,12.00%,31.90%,0.188,0.343,0.248,0.353,0.437,0.344,0.326,118,5.7,18.6,6,4.4
Fernando Tatis Jr.,SDP,141,635,25,91,78,29,8.30%,22.20%,0.191,0.299,0.257,0.322,0.449,0.332,0.368,113,3.1,13.1,9.2,4.4
Ha-Seong Kim,SDP,152,626,17,84,60,38,12.00%,19.80%,0.138,0.306,0.26,0.351,0.398,0.33,0.312,112,5.1,14.1,8.4,4.4
Brandon Nimmo,NYM,152,682,24,89,68,3,10.90%,21.40%,0.193,0.324,0.274,0.363,0.466,0.359,0.355,130,-2.6,22.9,-2.5,4.3
Alex Bregman,HOU,161,724,25,103,98,3,12.70%,12.00%,0.178,0.27,0.262,0.363,0.441,0.351,0.349,125,-5.1,16.8,2.1,4.3
Isaac Paredes,TBR,143,571,31,71,98,1,10.20%,18.20%,0.238,0.257,0.25,0.352,0.488,0.362,0.314,137,-1,24.1,-0.2,4.3
Sean Murphy,ATL,108,438,21,65,68,0,11.20%,22.40%,0.227,0.286,0.251,0.365,0.478,0.366,0.395,129,-4.9,10.9,16.4,4.2
Ketel Marte,ARI,150,650,25,94,82,8,10.90%,16.80%,0.209,0.3,0.276,0.358,0.485,0.361,0.342,127,-3.2,18.4,1.7,4.2
Jonah Heim,TEX,131,501,18,61,95,2,8.00%,19.20%,0.179,0.289,0.258,0.317,0.438,0.324,0.326,103,0.5,2.4,22,4.1
Christian Yelich,MIL,144,632,19,106,76,28,12.30%,22.20%,0.169,0.342,0.278,0.37,0.447,0.353,0.358,122,7.5,24.6,-4.7,4.1
Cody Bellinger,CHC,130,556,26,95,97,20,7.20%,15.60%,0.218,0.319,0.307,0.356,0.525,0.37,0.331,134,2.7,26.3,-4.1,4.1
Ozzie Albies,ATL,148,660,33,96,109,13,7.00%,16.20%,0.233,0.289,0.28,0.336,0.513,0.358,0.342,124,4.4,24,-6,4
Jose Altuve,HOU,90,410,17,76,51,14,10.70%,17.30%,0.211,0.348,0.311,0.393,0.522,0.393,0.336,154,-0.7,26,0.4,4
Michael Harris II,ATL,138,539,18,76,57,20,4.60%,18.70%,0.184,0.334,0.293,0.331,0.477,0.345,0.355,115,3.9,13.8,7.7,4
Bryson Stott,PHI,151,640,15,78,62,31,6.10%,15.60%,0.138,0.312,0.28,0.329,0.419,0.323,0.309,101,5.3,6.2,11.2,3.9
Thairo Estrada,SFG,120,530,14,63,49,23,4.20%,22.60%,0.145,0.331,0.271,0.315,0.416,0.316,0.293,101,4.8,5.4,15.6,3.9
Bo Bichette,TOR,135,601,20,69,73,5,4.50%,19.10%,0.168,0.355,0.306,0.339,0.475,0.349,0.361,125,-1.7,16,2,3.8
Christian Walker,ARI,157,661,33,86,103,11,9.40%,19.20%,0.239,0.272,0.258,0.333,0.497,0.351,0.342,120,0.6,17.1,-1.2,3.8
Chas McCormick,HOU,115,457,22,59,70,19,8.80%,25.60%,0.216,0.331,0.273,0.353,0.489,0.362,0.345,133,1.7,19.7,3.2,3.8
Josh Lowe,TBR,135,501,20,71,83,32,6.20%,24.80%,0.208,0.357,0.292,0.335,0.5,0.354,0.342,131,7,25.6,-4.4,3.8
Trea Turner,PHI,155,691,26,102,76,30,6.50%,21.70%,0.192,0.31,0.266,0.32,0.459,0.333,0.33,108,7.3,14.1,0.5,3.8
Nolan Jones,COL,106,424,20,60,62,20,12.50%,29.70%,0.245,0.401,0.297,0.389,0.542,0.395,0.36,135,3,21.4,1.2,3.7
Paul Goldschmidt,STL,154,687,25,89,80,11,12.70%,23.40%,0.179,0.327,0.268,0.363,0.447,0.35,0.367,122,2.6,21.5,-8.2,3.7
Andrés Giménez,CLE,153,616,15,76,62,30,5.20%,18.20%,0.147,0.289,0.251,0.314,0.399,0.309,0.3,97,2.6,0.7,14.9,3.6
Ian Happ,CHC,158,691,21,86,84,14,14.30%,22.10%,0.183,0.299,0.248,0.36,0.431,0.345,0.349,118,1.8,16.8,-5.2,3.5
Manny Machado,SDP,138,601,30,75,91,3,8.30%,18.10%,0.204,0.268,0.258,0.319,0.462,0.334,0.332,114,-3.5,7,7.4,3.5
Matt Chapman,TOR,140,581,17,66,54,4,10.70%,28.40%,0.185,0.319,0.24,0.33,0.424,0.328,0.339,110,2.2,9.2,5.7,3.5
Luis Arraez,MIA,147,617,10,71,69,3,5.70%,5.50%,0.115,0.362,0.354,0.393,0.469,0.369,0.353,132,-2.6,21.9,-8.5,3.4
Willy Adames,MIL,149,638,24,73,80,5,11.10%,25.90%,0.19,0.259,0.217,0.31,0.407,0.311,0.341,94,-0.3,-5.3,17.7,3.4
Brandon Marsh,PHI,133,472,12,58,60,10,12.50%,30.50%,0.181,0.397,0.277,0.372,0.458,0.358,0.324,125,3.1,17.5,0.1,3.4
Randy Arozarena,TBR,151,654,23,95,83,22,12.20%,23.90%,0.171,0.31,0.254,0.364,0.425,0.347,0.352,126,1.8,22.1,-10.7,3.3
Bryce Harper,PHI,126,546,21,84,72,11,14.70%,21.80%,0.206,0.352,0.293,0.401,0.499,0.384,0.397,142,-2.5,26,-11.5,3.3
Jeimer Candelario,2 Tms,140,576,22,77,70,8,9.20%,22.00%,0.22,0.292,0.251,0.336,0.471,0.346,0.319,117,1.2,13.3,0.1,3.3
Marcell Ozuna,ATL,144,592,40,84,100,0,9.60%,22.60%,0.285,0.293,0.274,0.346,0.558,0.381,0.4,139,-0.4,28.2,-15.6,3.3
Ke'Bryan Hayes,PIT,124,525,15,65,61,10,5.30%,19.80%,0.182,0.315,0.271,0.309,0.453,0.324,0.322,101,-1.5,-0.8,15.5,3.2
Matt McLain,CIN,89,403,16,65,50,14,7.70%,28.50%,0.216,0.385,0.29,0.357,0.507,0.37,0.332,128,0.8,14.9,3.9,3.2
Gleyber Torres,NYY,158,672,25,90,68,13,10.00%,14.60%,0.18,0.288,0.273,0.347,0.453,0.346,0.361,123,-4.8,13.4,-3.8,3.2
Lars Nootbaar,STL,117,503,14,74,46,11,14.30%,19.70%,0.157,0.307,0.261,0.367,0.418,0.344,0.357,118,2.2,13.5,1.5,3.2
Seiya Suzuki,CHC,138,583,20,75,74,6,10.10%,22.30%,0.2,0.341,0.285,0.357,0.485,0.358,0.358,126,-3.4,15.7,-3.6,3.2
Eugenio Suárez,SEA,162,694,22,68,96,2,10.10%,30.80%,0.159,0.314,0.232,0.323,0.391,0.313,0.328,102,-3.2,-1.1,9.2,3.2
Rafael Devers,BOS,153,656,33,90,100,5,9.50%,19.20%,0.229,0.292,0.271,0.351,0.5,0.359,0.38,124,-3.8,14.9,-5.8,3.1
Mike Trout,LAA,82,362,18,54,44,2,12.40%,28.70%,0.227,0.335,0.263,0.367,0.49,0.368,0.388,134,1.8,16.6,0.9,3
Steven Kwan,CLE,158,718,5,93,54,21,9.70%,10.40%,0.102,0.294,0.268,0.34,0.37,0.313,0.318,100,1.5,1.7,3,2.9
Zack Gelof,OAK,69,300,14,40,32,14,8.70%,27.30%,0.237,0.331,0.267,0.337,0.504,0.357,0.333,133,3.3,15.2,3.5,2.9
Max Muncy,LAD,135,579,36,95,105,1,14.70%,26.40%,0.263,0.221,0.212,0.333,0.475,0.344,0.365,118,0.9,14,-5.1,2.9
Patrick Bailey,SFG,97,353,7,29,48,1,5.90%,28.30%,0.126,0.314,0.233,0.285,0.359,0.282,0.311,78,-0.7,-10.4,26.8,2.8
Brandon Lowe,TBR,109,436,21,58,68,7,11.50%,27.30%,0.212,0.275,0.231,0.328,0.443,0.334,0.341,117,1.6,10.5,2.9,2.8
Pete Alonso,NYM,154,658,46,92,118,4,9.90%,22.90%,0.287,0.205,0.217,0.318,0.504,0.346,0.37,121,-1.8,15.7,-10.1,2.8
Jeremy Peña,HOU,150,634,10,81,52,13,6.80%,20.30%,0.118,0.323,0.263,0.324,0.381,0.31,0.302,96,0.1,-2.6,9,2.8
Edouard Julien,MIN,109,408,16,60,37,3,15.70%,31.40%,0.195,0.371,0.263,0.381,0.459,0.366,0.348,136,0.3,17.9,-3.8,2.8
Jack Suwinski,PIT,144,534,26,63,74,13,14.00%,32.20%,0.23,0.29,0.224,0.339,0.454,0.341,0.349,112,5,13.2,-3.8,2.8
Geraldo Perdomo,ARI,144,495,6,71,47,16,12.90%,17.40%,0.113,0.295,0.246,0.353,0.359,0.319,0.273,99,5,4.3,6.1,2.7
Lane Thomas,WSN,157,682,28,101,86,20,5.30%,25.80%,0.201,0.325,0.268,0.315,0.468,0.334,0.319,109,5.8,13.1,-9.2,2.7
Ryan Jeffers,MIN,96,335,14,46,43,3,9.90%,27.80%,0.213,0.359,0.276,0.369,0.49,0.369,0.334,138,-1.8,13.4,2.3,2.7
Jose Siri,TBR,101,364,25,58,56,12,5.50%,35.70%,0.272,0.269,0.222,0.267,0.494,0.319,0.301,106,4.2,7,7.7,2.7
Francisco Alvarez,NYM,123,423,25,51,63,2,8.00%,26.00%,0.228,0.222,0.209,0.284,0.437,0.31,0.306,97,-3.8,-5.3,17.9,2.7
Anthony Santander,BAL,153,656,28,81,95,5,8.40%,23.20%,0.215,0.299,0.257,0.325,0.472,0.34,0.318,119,0.1,15.3,-11.1,2.6
Nolan Arenado,STL,144,612,26,71,93,3,6.70%,16.50%,0.193,0.279,0.266,0.315,0.459,0.327,0.321,107,-3.3,1.9,3.7,2.6
Luke Raley,TBR,118,406,19,56,49,14,6.90%,31.50%,0.241,0.33,0.249,0.333,0.49,0.353,0.329,130,3.8,18.4,-5.9,2.6
Max Kepler,MIN,130,491,24,72,66,1,9.20%,21.60%,0.224,0.288,0.26,0.332,0.484,0.348,0.363,124,-3.5,10.5,-0.8,2.6
Jeff McNeil,NYM,156,648,10,75,55,10,6.00%,10.00%,0.108,0.288,0.27,0.333,0.378,0.314,0.29,100,1.7,2,1.7,2.6
Josh Jung,TEX,122,515,23,75,70,1,5.80%,29.30%,0.201,0.34,0.266,0.315,0.467,0.334,0.336,110,-2.9,3.4,4.5,2.5
Jake Burger,2 Tms,141,540,34,71,80,1,5.90%,27.60%,0.268,0.284,0.25,0.309,0.518,0.349,0.358,120,1.1,14.6,-7.6,2.5
Nolan Gorman,STL,119,464,27,59,76,7,11.40%,31.90%,0.241,0.296,0.236,0.328,0.478,0.345,0.358,118,2.6,13.2,-3.7,2.5
Willi Castro,MIN,124,409,9,60,34,33,8.30%,24.20%,0.154,0.328,0.257,0.339,0.411,0.327,0.306,109,6.4,10.9,0.4,2.5
Josh Naylor,CLE,121,495,17,52,97,10,6.70%,13.70%,0.181,0.326,0.308,0.354,0.489,0.354,0.345,128,-3.7,13,-4.8,2.5
Brandon Drury,LAA,125,523,26,61,83,0,4.80%,26.00%,0.235,0.308,0.262,0.306,0.497,0.339,0.319,114,-4.1,4.7,2.4,2.5
Wilmer Flores,SFG,126,454,23,51,60,0,9.00%,13.90%,0.225,0.286,0.284,0.355,0.509,0.368,0.336,136,-2.4,17.6,-8.4,2.5
Willson Contreras,STL,125,495,20,55,67,6,10.30%,22.40%,0.203,0.311,0.264,0.358,0.467,0.358,0.375,127,-4.4,12.5,-5,2.4
Royce Lewis,MIN,58,239,15,36,52,6,8.40%,23.00%,0.24,0.354,0.309,0.372,0.548,0.393,0.349,155,0.1,15.7,0.5,2.4
Bo Naylor,CLE,67,230,11,33,32,5,13.00%,23.00%,0.232,0.267,0.237,0.339,0.47,0.347,0.31,124,2.9,9.4,7,2.4
Jarren Duran,BOS,102,362,8,46,40,24,6.60%,24.90%,0.187,0.381,0.295,0.346,0.482,0.354,0.319,120,5.9,14.6,-3.2,2.4
Brandon Belt,TOR,103,404,19,53,43,0,15.10%,34.90%,0.236,0.37,0.254,0.369,0.49,0.369,0.337,138,-0.6,17.9,-8.4,2.3
Bryan Reynolds,PIT,145,640,24,85,84,12,8.30%,21.60%,0.197,0.304,0.263,0.33,0.46,0.338,0.359,110,1.9,9.9,-8.8,2.3
Leody Taveras,TEX,143,554,14,67,67,14,6.30%,21.10%,0.155,0.318,0.266,0.312,0.421,0.316,0.32,98,3.7,2.1,1.9,2.3
Orlando Arcia,ATL,139,533,17,66,65,1,7.30%,19.10%,0.156,0.301,0.264,0.321,0.42,0.321,0.309,99,-2.1,-2.7,7.3,2.3
Tommy Edman,STL,137,528,13,69,47,27,6.60%,15.90%,0.15,0.275,0.248,0.307,0.399,0.306,0.31,92,1.8,-3.2,7.9,2.3
Riley Greene,DET,99,416,11,51,37,7,8.40%,27.40%,0.159,0.384,0.288,0.349,0.447,0.344,0.363,119,1.4,11.1,-2.6,2.3
Jake Rogers,DET,107,365,21,47,49,1,7.70%,32.30%,0.224,0.268,0.221,0.286,0.444,0.312,0.326,97,0.2,-1,10.9,2.2
Jason Heyward,LAD,124,377,15,56,40,2,9.00%,17.00%,0.204,0.291,0.269,0.34,0.473,0.348,0.318,121,-0.8,8.8,0.4,2.2
Austin Hays,BAL,144,566,16,76,67,5,6.70%,24.90%,0.169,0.345,0.275,0.325,0.444,0.33,0.31,112,-3.9,4.3,-1.4,2.2
Kerry Carpenter,DET,118,459,20,57,64,6,7.00%,25.10%,0.194,0.338,0.278,0.34,0.471,0.347,0.339,121,-0.1,11.7,-5.5,2.2
José Caballero,SEA,104,280,4,37,26,26,10.00%,23.60%,0.1,0.285,0.221,0.343,0.32,0.305,0.299,96,5.2,4,8.3,2.2
Kevin Kiermaier,TOR,129,408,8,58,36,14,7.10%,21.10%,0.154,0.321,0.265,0.322,0.419,0.32,0.301,104,-2.7,-0.6,8.5,2.2
George Springer,TOR,154,683,21,87,72,20,8.80%,18.30%,0.147,0.291,0.258,0.327,0.405,0.32,0.332,104,-1.7,1.6,-3.1,2.2
J.D. Davis,SFG,144,546,18,61,69,1,9.50%,27.80%,0.165,0.32,0.248,0.325,0.413,0.321,0.324,104,-2.3,0.5,2.5,2.2
J.D. Martinez,LAD,113,479,33,61,103,1,7.10%,31.10%,0.301,0.324,0.271,0.321,0.572,0.369,0.37,135,-3.6,17.2,-11.9,2.2
CJ Abrams,WSN,151,614,18,83,64,47,5.20%,19.20%,0.167,0.279,0.245,0.3,0.412,0.306,0.306,90,9.5,2,-1.4,2.1
Daulton Varsho,TOR,158,581,20,65,61,16,7.70%,23.20%,0.169,0.256,0.22,0.285,0.389,0.293,0.303,85,2.8,-7.5,9.1,2.1
Spencer Steer,CIN,156,665,23,74,86,15,10.20%,20.90%,0.192,0.318,0.271,0.356,0.464,0.355,0.331,118,1.7,16.4,-17.7,2.1
Mitch Garver,TEX,87,344,19,45,50,0,12.80%,23.80%,0.23,0.313,0.27,0.37,0.5,0.374,0.363,138,-1.4,14.2,-4.7,2.1
Lourdes Gurriel Jr.,ARI,145,592,24,65,82,5,5.60%,17.40%,0.201,0.282,0.261,0.309,0.463,0.329,0.326,106,-3.2,0.9,0.1,2.1
Nathaniel Lowe,TEX,161,724,17,89,82,1,12.80%,22.80%,0.152,0.329,0.262,0.36,0.414,0.34,0.337,114,-8,4.5,-8.1,2.1
Jon Berti,MIA,133,424,7,53,33,16,6.80%,18.20%,0.111,0.349,0.294,0.344,0.405,0.325,0.323,103,0.6,1.9,4.4,2.1
Brendan Donovan,STL,95,371,11,48,34,5,8.90%,14.30%,0.138,0.311,0.284,0.365,0.422,0.345,0.353,118,3.1,11.6,-3.5,2.1
LaMonte Wade Jr.,SFG,135,519,17,64,45,2,14.60%,18.30%,0.161,0.29,0.256,0.373,0.417,0.347,0.362,122,-0.2,13.7,-10.8,2.1
Alex Verdugo,BOS,142,602,13,81,54,5,7.50%,15.40%,0.158,0.294,0.264,0.324,0.421,0.322,0.33,98,-2,-3.5,3.5,2
Yainer Diaz,HOU,104,377,23,51,60,0,2.90%,19.60%,0.256,0.292,0.282,0.308,0.538,0.354,0.365,127,-4.3,7.8,-0.3,2
Brent Rooker,OAK,137,526,30,61,69,4,9.30%,32.70%,0.242,0.317,0.246,0.329,0.488,0.348,0.347,127,0,17,-14.8,2
Davis Schneider,TOR,35,141,8,23,20,1,14.90%,30.50%,0.328,0.369,0.276,0.404,0.603,0.424,0.353,176,0.1,13,2.4,2
Danny Jansen,TOR,86,301,17,38,53,0,7.60%,20.60%,0.246,0.233,0.228,0.312,0.474,0.336,0.317,116,0.8,6.4,3.4,2
Ryan Noda,OAK,128,495,16,63,54,3,15.60%,34.30%,0.177,0.347,0.229,0.364,0.406,0.342,0.334,123,-0.3,13.1,-10,2
Luis Rengifo,LAA,126,445,16,55,51,6,9.20%,18.40%,0.18,0.293,0.264,0.339,0.444,0.339,0.323,114,0.1,7.6,-3.3,1.9
Maikel Garcia,KCR,123,515,4,59,50,23,7.40%,22.30%,0.086,0.344,0.272,0.323,0.358,0.299,0.318,84,-0.8,-10.7,12.5,1.9
