pitcher_name,game_date,hitting_team,k,start,rolling_whiff_rate,rolling_chase_rate,roll_whiff,roll_chase,roll_barrel,SO_Prop
Aaron Civale,2023-06-20,OAK,6,TRUE,0.11571658615136875,0.2487600644122383,0.1523328268955318,0.13174707991740459,0.03539751652959199,5.5
Aaron Civale,2023-06-25,MIL,5,TRUE,0.12689671037497124,0.2204991948470209,0.16192366070718972,0.15531486912067244,0.04901942759085619,5.5
Aaron Civale,2023-07-02,CHC,2,TRUE,0.1372670807453416,0.23086956521739127,0.12228261726556411,0.13558524563716348,0.032521370017719105,4.5
Aaron Nola,2023-05-09,TOR,6,TRUE,0.10719088319088317,0.24462678062678056,0.11416214704325703,0.1296535704460099,0.08327061432583575,5.5
Aaron Nola,2023-05-14,COL,4,TRUE,0.1014216524216524,0.21642165242165237,0.12358811139540878,0.17561537411263375,0.027250873515024476,5.5
Aaron Nola,2023-05-20,CHC,10,TRUE,0.10746560846560844,0.24389417989417983,0.1330553463645665,0.1430267601403309,0.07878139376257201,6.5
Aaron Nola,2023-05-25,ATL,7,TRUE,0.12346560846560846,0.22789417989417987,0.1410895677424065,0.16753194768931062,0.05935501489721012,5.5
Aaron Nola,2023-05-31,NYM,5,TRUE,0.15865079365079365,0.24747089947089945,0.08209386691995088,0.11567021617336522,0.06709135691894313,5.5
Aaron Nola,2023-06-10,LAD,7,TRUE,0.22099378881987577,0.25306832298136644,0.10458353040100277,0.1317679345659994,0.04591382287809622,6.5
Aaron Nola,2023-06-15,AZ,9,TRUE,0.2424223602484472,0.2602111801242236,0.08571976050266875,0.11343874613487055,0.03683347005742413,5.5
Aaron Nola,2023-06-22,ATL,5,TRUE,0.24686680469289163,0.27147043938348286,0.10116241314210599,0.12039906582804252,0.0889387282500204,6.5
Aaron Nola,2023-06-28,CHC,4,TRUE,0.23323044105652802,0.29095095886400235,0.09483485624036783,0.10647306031038488,0.04373434579274488,5.5
Aaron Nola,2023-07-04,TB,12,TRUE,0.21823044105652803,0.29328429219733565,0.15819107615341954,0.16463418275831637,0.031552402289763665,6.5
Adam Wainwright,2023-06-11,CIN,2,TRUE,0.06125356125356125,0.22946682946682948,0.11067923856433286,0.11166944809629561,0.03646930274837255,4.5
Adam Wainwright,2023-06-17,NYM,3,TRUE,0.06125356125356125,0.2092763532763533,0.1050854273541431,0.1194544347922315,0.056006810407055206,3.5
Adam Wainwright,2023-06-24,CHC,0,TRUE,0.06923076923076923,0.2636923076923077,0.10815648187639892,0.13299955950524756,0.031444486059306304,3.5
Adrian Houser,2023-06-29,NYM,5,TRUE,0.0974949494949495,0.2631736977619331,0.12207089787451093,0.13636546874912123,0.06149720070553606,3.5
Alek Manoah,2023-05-09,PHI,1,TRUE,0.12133699633699635,0.2490842490842491,0.13959630319416727,0.18134404749163516,0.03675781460678486,5.5
