,edge,grade,money,value,is_best,bet_quality,implied_value,projected_value,ou,book_name,display_name,full_name,prop
3963,0.014141920912095,C-,-140,0.5,True,10.0,0.7121320343559644,0.91,over,Best Odds,Angels,Aaron Hicks,hits
3962,-0.121284778054952,F,-110,0.5,False,0.0,0.4292893218813452,0.91,under,Best Odds,Angels,Aaron Hicks,hits
3960,,,1200,0.5,,,,,over,Best Odds,Angels,Aaron Hicks,hits
3961,,,-2500,0.5,,,,,under,Best Odds,Angels,Aaron Hicks,hits
3968,0.022112333038108,C-,-140,0.5,True,10.0,0.7121320343559644,0.93,over,BetMGM NJ,Angels,Aaron Hicks,hits
3969,-0.093250544420221,F,105,0.5,False,0.0,0.5707106781186548,0.93,under,BetMGM NJ,Angels,Aaron Hicks,hits
3977,0.015885296086432,C-,-139,0.5,True,10.0,0.7121320343559644,0.91,over,Caesars NJ,Angels,Aaron Hicks,hits
3976,-0.092524759195923,F,102,0.5,False,0.0,0.5707106781186548,0.91,under,Caesars NJ,Angels,Aaron Hicks,hits
3974,,,-204,0.5,,,,,under,Caesars NJ,Angels,Aaron Hicks,hits
3975,,,146,0.5,,,,,over,Caesars NJ,Angels,Aaron Hicks,hits
3967,0.022112333038108,C-,-140,0.5,True,10.0,0.7121320343559644,0.93,over,DK NJ,Angels,Aaron Hicks,hits
3966,-0.129255190180965,F,-110,0.5,False,0.0,0.4292893218813452,0.93,under,DK NJ,Angels,Aaron Hicks,hits
3964,,,-2500,0.5,,,,,under,DK NJ,Angels,Aaron Hicks,hits
3965,,,1200,0.5,,,,,over,DK NJ,Angels,Aaron Hicks,hits
3971,0.013608931677563,C-,-145,0.5,True,10.0,0.7121320343559644,0.93,over,PointsBet NJ,Angels,Aaron Hicks,hits
3970,-0.081636142561917,F,110,0.5,False,0.0,0.5707106781186548,0.93,under,PointsBet NJ,Angels,Aaron Hicks,hits
3973,0.030977581265058,C,-135,0.5,True,10.0,0.6414213562373096,0.93,over,bet365 NJ,Angels,Aaron Hicks,hits
3972,-0.093250544420221,F,105,0.5,False,0.0,0.5707106781186548,0.93,under,bet365 NJ,Angels,Aaron Hicks,hits
3469,-0.016845671215303,D+,155,0.5,True,0.0,0.7121320343559644,0.98,under,Best Odds,Yankees,Aaron Judge,hits
3468,-0.052730546368505,F,-210,0.5,False,8.0,0.853553390593274,0.98,over,Best Odds,Yankees,Aaron Judge,hits
3466,,,450,1.5,,,,,over,Best Odds,Yankees,Aaron Judge,hits
3467,,,-700,1.5,,,,,under,Best Odds,Yankees,Aaron Judge,hits
3475,-0.016735832040043,D+,160,0.5,True,0.0,0.7121320343559644,1.0,under,BetMGM NJ,Yankees,Aaron Judge,hits
3474,-0.060187244883034,F,-225,0.5,False,7.0,0.9242640687119288,1.0,over,BetMGM NJ,Yankees,Aaron Judge,hits
3482,-0.028945844250055,D,152,0.5,True,0.0,0.7121320343559644,1.0,under,Caesars NJ,Yankees,Aaron Judge,hits
3483,-0.049408214995724,D,-214,0.5,False,9.0,0.853553390593274,1.0,over,Caesars NJ,Yankees,Aaron Judge,hits
3480,,,-142,0.5,,,,,over,Caesars NJ,Yankees,Aaron Judge,hits
3481,,,104,0.5,,,,,under,Caesars NJ,Yankees,Aaron Judge,hits
3472,-0.016735832040043,D+,160,0.5,True,0.0,0.7121320343559644,1.0,under,DK NJ,Yankees,Aaron Judge,hits
3473,-0.050419235115025,F,-215,0.5,False,9.0,0.853553390593274,1.0,over,DK NJ,Yankees,Aaron Judge,hits
3470,,,-700,1.5,,,,,under,DK NJ,Yankees,Aaron Judge,hits
3471,,,450,1.5,,,,,over,DK NJ,Yankees,Aaron Judge,hits
3476,-0.002047299036243,D+,165,0.5,True,0.0,0.7828427124746192,0.98,under,PointsBet NJ,Yankees,Aaron Judge,hits
3477,-0.067618883837487,F,-225,0.5,False,6.0,0.9242640687119288,0.98,over,PointsBet NJ,Yankees,Aaron Judge,hits
3478,-0.016735832040043,D+,160,0.5,True,0.0,0.7121320343559644,1.0,under,bet365 NJ,Yankees,Aaron Judge,hits
3479,-0.034546219242009,D,-200,0.5,False,9.0,0.853553390593274,1.0,over,bet365 NJ,Yankees,Aaron Judge,hits
860,-0.020916877496485,D+,150,0.5,True,0.0,0.7121320343559644,0.97,under,Best Odds,Athletics,Abraham Toro,hits
861,-0.045749789170182,D,-200,0.5,False,8.0,0.853553390593274,0.97,over,Best Odds,Athletics,Abraham Toro,hits
858,,,350,0.5,,,,,over,Best Odds,Athletics,Abraham Toro,hits
859,,,-525,0.5,,,,,under,Best Odds,Athletics,Abraham Toro,hits
868,-0.020916877496485,D+,150,0.5,True,0.0,0.7121320343559644,0.97,under,BetMGM NJ,Athletics,Abraham Toro,hits
869,-0.045749789170182,D,-200,0.5,False,8.0,0.853553390593274,0.97,over,BetMGM NJ,Athletics,Abraham Toro,hits
866,-0.020916877496485,D+,150,0.5,True,0.0,0.7121320343559644,0.97,under,BetRivers NJ,Athletics,Abraham Toro,hits
867,-0.045749789170182,D,-200,0.5,False,8.0,0.853553390593274,0.97,over,BetRivers NJ,Athletics,Abraham Toro,hits
874,,,-214,0.5,,,,,over,Caesars NJ,Athletics,Abraham Toro,hits
875,,,152,0.5,,,,,under,Caesars NJ,Athletics,Abraham Toro,hits
876,,,100,0.5,,,,,under,Caesars NJ,Athletics,Abraham Toro,hits
877,,,-137,0.5,,,,,over,Caesars NJ,Athletics,Abraham Toro,hits
864,-0.020916877496485,D+,150,0.5,True,0.0,0.7121320343559644,0.97,under,DK NJ,Athletics,Abraham Toro,hits
865,-0.045749789170182,D,-200,0.5,False,8.0,0.853553390593274,0.97,over,DK NJ,Athletics,Abraham Toro,hits
862,,,-525,0.5,,,,,under,DK NJ,Athletics,Abraham Toro,hits
863,,,350,0.5,,,,,over,DK NJ,Athletics,Abraham Toro,hits
870,-0.020916877496485,D+,150,0.5,True,0.0,0.7121320343559644,0.97,under,PointsBet NJ,Athletics,Abraham Toro,hits
871,-0.045749789170182,D,-200,0.5,False,8.0,0.853553390593274,0.97,over,PointsBet NJ,Athletics,Abraham Toro,hits
872,-0.00553226211187,D+,160,0.5,True,0.0,0.7121320343559644,0.97,under,bet365 NJ,Athletics,Abraham Toro,hits
